"","area","month","nobs","R2_linear","R2_poly","AIC_linear","AIC_poly","F_statistic","anova_p_value","signf"
"1","ALL","All",503,0.0121105712611448,0.0994929994040304,2487.38969156348,2442.8054337747,48.5184613140457,1.03530583859099e-11,"***"
"2","RAS","All",43,0.0814898879010178,0.146649205720921,138.142169508689,136.978134766161,3.05428052597998,0.0881982365221278,"."
"3","KIL","All",227,0.0208332287084393,0.0937763286441688,1141.64567842529,1126.07228656221,18.0300458949143,3.1872870428905e-05,"***"
"4","VÄR","All",46,0.175393170197132,0.337898381593182,230.253567906219,222.157135706236,10.5538544171578,0.00225324594912747,"**"
"5","TII","All",49,0.022329630235927,0.0975675414994518,221.490886167951,219.567028946197,3.83512792067866,0.0562692640510138,"."
"6","PIS","All",48,0.00910707799923268,0.136764058093873,235.25731357673,230.637229081707,6.65468596172461,0.0132265772599832,"*"
"7","HYY","All",47,0.0506244608793543,0.179027942468643,238.146777947131,233.316955697133,6.88178499877009,0.0119214411794472,"*"
"8","KAR","All",43,0.00928997811427928,0.175045768668574,205.013131083869,199.140090276248,8.03709026556662,0.00715282032385812,"**"
"9","HYY","April",22,0.285580193605101,0.364987069607159,66.2286898482558,65.6365312201602,2.37590538999852,0.139710759171878,""
"10","KAR","April",43,0.288068521818926,0.342617337334801,117.230216252199,115.8024549135,3.31915145402343,0.0759607368545805,"."
"11","TII","May",49,0.0836296326894626,0.260679302299781,237.226495859589,228.706743407148,11.0159026081765,0.00177300464377235,"**"
"12","PIS","May",44,0.0140216358117988,0.0570163664246162,192.897231869019,192.935470548179,1.86936855779967,0.178996937696755,""
"13","HYY","May",46,0.0295885345668961,0.0299795740062246,156.000648695416,157.982108684265,0.0173343730096211,0.89586728804049,""
"14","KAR","May",43,0.210288708174773,0.321936348754394,117.467481598528,112.913152381813,6.58626312585988,0.014126330278954,"*"
"15","RAS","June",28,0.0694571477712109,0.274859147764134,80.178387425821,75.1951254619147,7.0814518089691,0.0134099147480165,"*"
"16","KIL","June",206,0.00857306153723031,0.0591822809308854,1040.25246201399,1031.45891766611,10.9199383989889,0.00112459100731808,"**"
"17","VÄR","June",46,0.365977959489853,0.509509442306834,229.365662803613,219.558489082237,12.5830225767386,0.000955279222153269,"***"
"18","TII","June",49,0.0348258233601586,0.0744382306996307,199.673569634559,199.620091959843,1.96871867232923,0.16729811437446,""
"19","PIS","June",48,0.00147125016730604,0.405103339588434,183.860590741775,161.001619462609,30.5320994933553,1.57110827431452e-06,"***"
"20","HYY","June",47,0.056120646765769,0.072601851549817,204.035146386266,205.207223585457,0.781943560821183,0.381354017940405,""
"21","KAR","June",43,0.00116173896152384,0.155099985715931,202.464121976886,197.267015440493,7.28787994564529,0.010123745957483,"*"
"22","RAS","July",40,0.143289438298452,0.215226134142475,116.846077693517,115.337896896016,3.39162383207097,0.0735556726536921,"."
"23","KIL","July",226,0.0150460461491888,0.0431844444610389,1024.09961017701,1019.54916927557,6.55806940764881,0.0111011854103717,"*"
"24","VÄR","July",46,0.320974238865647,0.403075627593432,182.965025753743,179.037068282838,5.91424957413226,0.0192574154815223,"*"
"25","TII","July",49,0.124580217117571,0.16843192767834,167.366072932548,166.847945243357,2.42575292743454,0.126210013876055,""
"26","PIS","July",48,0.0636324879903256,0.229768005846226,155.927938668651,148.552757234757,9.70629415586567,0.00319309812877752,"**"
"27","HYY","July",47,0.0568601383249505,0.0568961736345778,165.558186141959,167.556390340532,0.00168120792140097,0.967479368866396,""
"28","KAR","July",43,0.0600650169163325,0.199441508533356,171.94335801383,167.041810391034,6.96396293850722,0.0117953473763255,"*"
"29","RAS","August",42,0.0901986378260078,0.159966515945647,141.055466939984,139.704516287453,3.23909379603954,0.0796402140333225,"."
"30","KIL","August",226,0.00823297545885521,0.0949072131921677,1036.49783323594,1017.82996145217,21.3551088863472,6.45539887363334e-06,"***"
"31","VÄR","August",43,0.412995845255161,0.503020409978586,121.258987281687,116.100220911789,7.24573536064496,0.010326094894959,"*"
"32","TII","August",49,0.0239271690395525,0.0559643673683445,174.906587912337,175.271296523498,1.56107573928774,0.217828006068891,""
"33","PIS","August",48,0.0131044741265429,0.224968581712539,212.111497820282,202.511788281337,12.30128820124,0.00103885256841435,"**"
"34","HYY","August",47,0.058055679801913,0.119805219329499,190.490979369593,189.304241184488,3.08679374029473,0.0858874342910477,"."
"35","KAR","August",43,0.191727585438819,0.277601833197411,163.872486096268,161.042610684992,4.75495380275847,0.0351550842623455,"*"
"36","RAS","September",42,0.0969843964231677,0.210379565693804,106.884929312174,103.249055745297,5.60068028816982,0.0230146009011064,"*"
"37","KIL","September",224,0.0341263449262458,0.0871051991613258,866.904485772457,856.26811187538,12.8254939947037,0.000420439432251182,"***"
"38","VÄR","September",43,0.469362769826253,0.471633852585809,120.570509508932,122.386078164447,0.171932495726355,0.68061547585726,""
"39","TII","September",49,0.0451167063681942,0.111191187342854,216.509406865228,214.995765144873,3.41966245333215,0.0708559910324077,"."
"40","PIS","September",48,0.0322162628569841,0.0779300778122246,200.679976935447,200.357372515649,2.23098229698778,0.142247035195714,""
"41","HYY","September",47,0.283307369582056,0.289372984988927,180.844197487543,182.444727556308,0.375565623406744,0.54314079149964,""
"42","KAR","September",43,0.0513062849234288,0.181908966309973,184.216528542401,179.847696070725,6.38572853182154,0.0155609401626257,"*"
